title,type,country,worldwide_gross
K-19: The Widowmaker,Movie,"United Kingdom, Germany, Canada, United States","$65,716,126 "
Kevin Hart: Laugh at My Pain,Movie,United States,"$7,712,436 "
Kevin Hart: Let Me Explain,Movie,United States,"$32,327,255 "
Kicking and Screaming,Movie,United States,"$55,842,724 "
Kill the Irishman,Movie,United States,"$1,188,194 "
Killers,Movie,United States,"$95,572,749 "
King's Ransom,Movie,"United States, Canada","$4,049,527 "
Kingpin,Movie,United States,"$32,223,424 "
Kiss the Girls,Movie,United States,"$60,527,873 "
Knowing,Movie,"United States, United Kingdom, Australia","$186,450,317 "
Kung Fu Hustle,Movie,"Hong Kong, China, United States","$102,034,104 "
La Bamba,Movie,United States,"$54,215,416 "
Lady in the Water,Movie,United States,"$72,785,169 "
Leap Year,Movie,"United States, Ireland","$32,618,920 "
Left Behind,Movie,"United States, Canada","$4,221,341 "
Left Behind,Movie,"United States, Canada","$20,769,209 "
Legend of the Guardians: The Owls of Ga'Hoole,Movie,"United States, Australia","$139,716,717 "
Legion,Movie,United States,"$67,647,574 "
Lincoln,Movie,"United States, India","$273,346,281 "
Little Nicky,Movie,United States,"$58,270,391 "
"Lock, Stock and Two Smoking Barrels",Movie,United Kingdom,"$28,356,188 "
Lockout,Movie,"France, United States","$33,943,049 "
Logan's Run,Movie,United States,"$25,000,000 "
Lolita,Movie,"United Kingdom, United States","$9,250,000 "
Lolita,Movie,"United Kingdom, United States","$1,147,784 "
Loving Annabelle,Movie,United States,"$5,382 "
Mad Max,Movie,"Australia, United States","$99,750,000 "
Mad Money,Movie,United States,"$25,044,057 "
Manglehorn,Movie,United States,"$797,439 "
Men in Black,Movie,United States,"$587,790,539 "
Middle School: The Worst Years of My Life,Movie,"United States, Cambodia","$23,311,425 "
Midnight Special,Movie,"United States, Greece","$6,841,142 "
Milk,Movie,United States,"$57,293,371 "
Miracle,Movie,"Canada, United States","$64,474,705 "
Mirror Mirror,Movie,"United States, Canada","$173,613,482 "
Miss Julie,Movie,"Norway, United Kingdom, France, Ireland","$863,895 "
Mona Lisa Smile,Movie,United States,"$141,205,169 "
Money Talks,Movie,United States,"$41,076,865 "
Monster-in-Law,Movie,"United States, Germany","$155,931,301 "
Moon,Movie,"United Kingdom, United States","$10,676,073 "
Moonlight,Movie,United States,"$55,800,987 "
Movie 43,Movie,United States,"$31,164,747 "
Mr. Deeds,Movie,United States,"$171,269,535 "
Mud,Movie,United States,"$31,556,959 "
Muppets Most Wanted,Movie,United States,"$79,312,301 "
My Sister's Keeper,Movie,United States,"$96,673,002 "
My Week with Marilyn,Movie,"United Kingdom, United States","$34,240,572 "
Nacho Libre,Movie,"United States, Mexico","$99,296,462 "
National Treasure,Movie,United States,"$331,323,410 "
New York Minute,Movie,United States,"$21,215,882 "
Nightcrawler,Movie,United States,"$50,334,418 "
No Reservations,Movie,United States,"$91,943,956 "
Nowhere Boy,Movie,"United Kingdom, Canada","$7,785,229 "
Obvious Child,Movie,United States,"$3,324,070 "
Ocean's Eleven,Movie,United States,"$450,728,529 "
Ocean's Thirteen,Movie,United States,"$311,744,465 "
Ocean's Twelve,Movie,United States,"$362,989,076 "
One Day,Movie,Thailand,"$59,168,692 "
Only God Forgives,Movie,"Denmark, France, United States, Sweden","$4,494,560 "
Open Season,Movie,United States,"$191,932,158 "
Operation Chromite,Movie,South Korea,"$49,196,532 "
P.S. I Love You,Movie,United States,"$155,769,678 "
Panic Room,Movie,United States,"$196,308,367 "
Paranormal Activity,Movie,United States,"$194,183,034 "
Patriot Games,Movie,United States,"$178,100,000 "
Paul Blart: Mall Cop,Movie,United States,"$185,904,750 "
Philadelphia,Movie,United States,"$201,324,422 "
Platoon,Movie,"United States, United Kingdom","$137,963,328 "
Popeye,Movie,United States,"$49,823,037 "
Pulp Fiction,Movie,United States,"$212,928,762 "
Quantum of Solace,Movie,"United Kingdom, United States","$591,692,078 "
Queen of the Desert,Movie,"United States, Morocco","$1,480,089 "
Race to Witch Mountain,Movie,United States,"$105,103,783 "
Rachel Getting Married,Movie,United States,"$17,475,475 "
Raging Bull,Movie,United States,"$23,380,203 "
Red Dawn,Movie,United States,"$48,164,150 "
Remember Me,Movie,United States,"$56,506,120 "
Resident Evil: Afterlife,Movie,"Germany, France, United States, Canada, United Kingdom","$295,874,190 "
Revolutionary Road,Movie,"United States, United Kingdom","$79,564,960 "
Righteous Kill,Movie,United States,"$78,481,410 "
Rocky,Movie,United States,"$225,000,000 "
Room,Movie,"Ireland, Canada, United Kingdom, United States","$36,262,783 "
Rosemary's Baby,Movie,United States,"$33,395,426 "
Rounders,Movie,United States,"$22,921,898 "
Rumble in the Bronx,Movie,Hong Kong,"$36,238,752 "
Rumor Has It,Movie,"United States, Germany, Australia","$88,933,562 "
Runaway Bride,Movie,United States,"$310,138,178 "
S.W.A.T.,Movie,United States,"$207,154,748 "
Safety Not Guaranteed,Movie,United States,"$4,422,318 "
Saving Mr. Banks,Movie,"United States, United Kingdom, Australia","$114,962,525 "
Scary Movie,Movie,United States,"$277,200,000 "
Schindler's List,Movie,United States,"$321,365,567 "
School Daze,Movie,United States,"$14,545,844 "
Scream 2,Movie,United States,"$101,363,301 "
Scream 3,Movie,United States,"$161,838,076 "
Season of the Witch,Movie,United States,"$91,126,600 "
Secret in Their Eyes,Movie,"United States, United Kingdom, Spain, South Korea","$30,808,558 "
Sex and the City 2,Movie,United States,"$294,680,778 "
Shanghai,Movie,India,"$15,505,922 "
Sherlock Holmes,Movie,"United States, Germany, United Kingdom, Australia","$498,438,212 "
Shorts,Movie,"United States, United Arab Emirates","$29,870,801 "
Shutter,Movie,Thailand,"$47,782,426 "
Singularity,Movie,"Switzerland, United States",$0 
Skin Trade,Movie,"Thailand, Canada, United States","$1,242 "
Skyline,Movie,United States,"$78,693,371 "
Sleepover,Movie,United States,"$9,408,183 "
Sling Blade,Movie,United States,"$34,175,000 "
Small Soldiers,Movie,United States,"$71,743,823 "
Something's Gotta Give,Movie,United States,"$266,685,242 "
Soul Surfer,Movie,United States,"$47,158,652 "
Sparkle,Movie,United States,"$24,660,323 "
Spider-Man 3,Movie,United States,"$890,875,303 "
Spotlight,Movie,United States,"$92,217,729 "
Spring Breakers,Movie,"United States, France","$31,149,251 "
Spy Kids,Movie,United States,"$197,692,062 "
Spy Kids 2: The Island of Lost Dreams,Movie,United States,"$119,721,296 "
Step Brothers,Movie,United States,"$128,468,793 "
Stripes,Movie,United States,"$85,300,000 "
Striptease,Movie,United States,"$113,309,743 "
Stuart Little 2,Movie,United States,"$166,000,000 "
Superbad,Movie,United States,"$169,955,142 "
Superman Returns,Movie,United States,"$374,085,065 "
Superstar,Movie,United States,"$30,628,981 "
Swiss Army Man,Movie,"United States, Sweden","$5,100,863 "
Take Me Home Tonight,Movie,"United States, Germany","$7,576,604 "
Tarzan,Movie,United States,"$448,191,819 "
Teenage Mutant Ninja Turtles,Movie,"Hong Kong, United States","$202,000,000 "
Teenage Mutant Ninja Turtles,Movie,"Hong Kong, United States","$485,004,754 "
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Movie,"United States, Hong Kong","$78,656,813 "
Terminator 3: Rise of the Machines,Movie,"United States, Germany, United Kingdom","$433,058,296 "
Terminator Salvation,Movie,"United States, Germany, United Kingdom, Italy","$365,491,792 "
The Adventures of Tintin,Movie,"United States, New Zealand, United Kingdom","$373,993,951 "
The American President,Movie,United States,"$107,822,813 "
The Amityville Horror,Movie,United States,"$109,175,673 "
The Art of War,Movie,"United States, Canada","$30,199,105 "
The Book of Eli,Movie,United States,"$158,750,817 "
The Bounty Hunter,Movie,United States,"$135,808,837 "
The Box,Movie,United States,"$26,341,896 "
The Boy,Movie,"United States, Canada, China","$68,220,952 "
The Boy in the Striped Pajamas,Movie,"United Kingdom, United States","$44,083,403 "
The Break-Up,Movie,United States,"$205,727,307 "
The Brothers Grimm,Movie,"United States, Czech Republic, United Kingdom","$105,299,638 "
The Bucket List,Movie,United States,"$174,810,815 "
The Bye Bye Man,Movie,"United States, China","$25,863,405 "
The Cell,Movie,Egypt,"$85,911,226 "
The Christmas Candle,Movie,"United Kingdom, United States","$1,933,829 "
The Craft,Movie,United States,"$55,669,466 "
The Croods,Movie,United States,"$573,068,425 "
The Crow,Movie,United States,$0 
The Crying Game,Movie,"United Kingdom, Japan, United States","$62,546,695 "
The Departed,Movie,"United States, Hong Kong","$289,660,619 "
The Devil Inside,Movie,United States,"$101,759,490 "
The Dukes of Hazzard,Movie,United States,"$109,848,461 "
The Evil Dead,Movie,United States,"$29,400,000 "
The Fighter,Movie,United States,"$129,262,388 "
The Final Destination,Movie,United States,"$187,384,627 "
The First Wives Club,Movie,United States,"$181,489,203 "
The Flintstones,Movie,United States,"$358,500,000 "
The Flintstones in Viva Rock Vegas,Movie,United States,"$59,431,365 "
The Forbidden Kingdom,Movie,"United States, China","$129,075,270 "
The Forgotten,Movie,United Kingdom,"$117,211,892 "
The Founder,Movie,"United States, Greece","$18,301,418 "
The Frozen Ground,Movie,United States,"$5,617,460 "
The Girl with the Dragon Tattoo,Movie,"United States, Sweden, Norway","$239,373,970 "
"The Goods: Live Hard, Sell Hard",Movie,United States,"$15,297,318 "
The Gospel of John,Movie,"United Kingdom, United States, Morocco","$4,234,355 "
The Great Raid,Movie,"United States, Australia","$10,597,070 "
The Green Hornet,Movie,United States,"$229,155,503 "
The Haunting of Molly Hartley,Movie,United States,"$15,318,257 "
The Help,Movie,United States,"$213,120,004 "
The Hundred-Foot Journey,Movie,"United States, India, United Arab Emirates","$94,270,488 "
The Imaginarium of Doctor Parnassus,Movie,"United Kingdom, Canada, France, United States","$64,352,607 "
The Indian in the Cupboard,Movie,United States,"$35,627,222 "
The Informant!,Movie,United States,"$41,771,168 "
The Invention of Lying,Movie,United States,"$32,679,264 "
The Invitation,Movie,United States,"$354,836 "
The Iron Lady,Movie,"United Kingdom, France","$115,592,104 "
The Lake House,Movie,United States,"$114,830,111 "
The Last Exorcism,Movie,"France, United States","$70,165,900 "
The Little Prince,Movie,"France, Canada, Italy, United States, China","$90,905,178 "
The Longest Yard,Movie,United States,"$190,320,568 "
The Longshots,Movie,United States,"$11,778,396 "
The Lord of the Rings: The Return of the King,Movie,"New Zealand, United States","$1,141,403,341 "
The Lord of the Rings: The Two Towers,Movie,"New Zealand, United States","$934,699,645 "
The Love Guru,Movie,"United Kingdom, Germany, United States","$40,123,346 "
The Mask of Zorro,Movie,"United States, Germany, Mexico","$233,700,000 "
The Matrix,Movie,United States,"$463,517,383 "
The Matrix Reloaded,Movie,United States,"$738,576,929 "
The Matrix Revolutions,Movie,United States,"$427,300,260 "
The Men Who Stare at Goats,Movie,"United States, United Kingdom","$67,348,218 "
The Muppets,Movie,United States,"$160,971,922 "
The Other Guys,Movie,United States,"$170,936,470 "
The Peacemaker,Movie,United States,"$62,967,368 "
The Pelican Brief,Movie,United States,"$187,995,859 "
The Perks of Being a Wallflower,Movie,United States,"$33,069,303 "
The Phantom of the Opera,Movie,"United Kingdom, United States","$154,017,885 "
The Pink Panther,Movie,"United States, Czech Republic","$158,926,474 "
The Pirates! Band of Misfits,Movie,"United Kingdom, United States","$136,143,605 "
The Place Beyond the Pines,Movie,United States,"$47,011,449 "
The Player,Movie,Egypt,"$28,876,702 "
The Polar Express,Movie,United States,"$319,090,241 "
The Prince,Movie,"United States, United Kingdom",$0 
The Prince & Me,Movie,"United States, Czech Republic","$29,356,757 "
The Princess and the Frog,Movie,United States,"$270,997,378 "
The Pursuit of Happyness,Movie,United States,"$307,325,633 "
The Rainmaker,Movie,"United States, Germany","$45,916,769 "
The Ring,Movie,United States,"$248,218,486 "
The River Wild,Movie,United States,"$94,215,000 "
The Roommate,Movie,United States,"$52,545,707 "
The Rover,Movie,"Australia, United States","$3,180,252 "
The Score,Movie,"Germany, Canada, United States","$113,542,091 "
The Signal,Movie,United States,"$406,299 "
The Social Network,Movie,United States,"$224,922,135 "
The Spectacular Now,Movie,United States,"$6,916,951 "
The Spy Next Door,Movie,United States,"$46,752,858 "
The Taking of Pelham 123,Movie,"United States, United Kingdom","$152,364,370 "
The Talented Mr. Ripley,Movie,United States,"$128,792,135 "
The Texas Chainsaw Massacre,Movie,United States,"$26,572,439 "
The Texas Chainsaw Massacre,Movie,United States,"$107,967,319 "
The Time Machine,Movie,"United States, United Arab Emirates","$98,983,590 "
The Time Traveler's Wife,Movie,United States,"$102,332,135 "
The Tuxedo,Movie,United States,"$104,429,625 "
The Ugly Truth,Movie,United States,"$205,298,907 "
The Vatican Tapes,Movie,United States,"$14,999,638 "
The Water Diviner,Movie,"Australia, United States","$30,864,649 "
The Water Horse: Legend of the Deep,Movie,"New Zealand, United Kingdom, Australia","$103,429,755 "
The Waterboy,Movie,United States,"$190,191,646 "
The Witch,Movie,"United Kingdom, Canada, United States","$40,454,520 "
Tomorrow Never Dies,Movie,"United Kingdom, United States","$339,504,276 "
Trainspotting,Movie,United Kingdom,"$71,558,971 "
Traitor,Movie,United States,"$27,882,226 "
Transcendence,Movie,"United Kingdom, China, United States","$103,039,258 "
Trash,Movie,"United Kingdom, Brazil, Germany","$6,553,186 "
Tremors,Movie,United States,"$16,667,084 "
True Grit,Movie,United States,"$252,276,928 "
Turbo,Movie,United States,"$286,896,578 "
Tusk,Movie,United States,"$1,821,983 "
Two Lovers and a Bear,Movie,Canada,"$22,273 "
Unaccompanied Minors,Movie,United States,"$21,970,831 "
Up in the Air,Movie,United States,"$166,842,739 "
USS Indianapolis: Men of Courage,Movie,United States,"$1,079,040 "
V for Vendetta,Movie,"United States, United Kingdom, Germany","$130,214,162 "
Vantage Point,Movie,United States,"$150,886,329 "
Waiting...,Movie,United States,"$18,673,274 "
War,Movie,"United States, Canada","$40,686,409 "
War Horse,Movie,"United States, India","$156,815,529 "
We Are Your Friends,Movie,"United Kingdom, France, United States","$10,166,209 "
What Lies Beneath,Movie,United States,"$288,693,989 "
While We're Young,Movie,United States,"$13,423,176 "
Wild Wild West,Movie,United States,"$221,229,335 "
Willy Wonka & the Chocolate Factory,Movie,"United States, East Germany, West Germany","$4,000,000 "
Winter's Bone,Movie,United States,"$16,131,551 "
Wish I Was Here,Movie,United States,"$6,591,365 "
Wolves,Movie,United States,$0 
Woodstock,Movie,United States,"$34,505,110 "
World Trade Center,Movie,United States,"$163,295,654 "
Wyatt Earp,Movie,United States,"$25,052,000 "
XXX: State of the Union,Movie,United States,"$71,073,932 "
Y Tu Mamá También,Movie,Mexico,"$33,649,881 "
Yoga Hosers,Movie,United States,"$2,199 "
Young Adult,Movie,United States,"$22,750,356 "
"Yours, Mine and Ours",Movie,United States,"$72,359,917 "
Zodiac,Movie,United States,"$83,080,084 "
Zombieland,Movie,United States,"$102,236,596 "
Zoom,Movie,United States,"$12,506,188 "
